property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Allure Homes,sector 12,0.72,7272,8910,Carpet area: 990 (91.97 sq.m.),2,2,1,2,na,Relatively New,,,990.0,0,0,0,0,1,0,16
flat,Satya The Hermitage,sector 103,0.93,6404,1452,Carpet area: 1452 (134.9 sq.m.),2,3,3,3,east,Relatively New,,,1452.0,0,1,0,0,0,0,90
flat,DLF The Grove,sector 43,6.0,25000,2400,Carpet area: 2400 (222.97 sq.m.),4,4,2,1,south-west,New Property,,,2400.0,0,1,0,0,0,0,49
house,Independent,sector 17a,3.87,5160,1625,Plot area 1623(150.78 sq.m.)Built Up area: 7500 sq.ft. (696.77 sq.m.),3,4,,5,north-west,Relatively New,,7500.0,,1,0,1,0,0,1,68
house,Independent,sector 28,8.4,34530,2432,Plot area 270(225.75 sq.m.),4,4,,2,north-east,Relatively New,,2435.0,,0,1,1,1,0,0,139
flat,Orris Carnation Residency,sector 85,1.1,6686,1645,Super Built up area 1645(152.83 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6,east,Moderately Old,1645.0,,1300.0,0,1,0,0,0,2,65
flat,Breez Global Heights,sector 36,0.24,5825,3708,Carpet area: 412 (38.28 sq.m.),1,1,1,8,na,New Property,,,412.0,0,0,0,0,0,1,57
flat,Tulip Violet,sector 69,1.55,9822,1578,Super Built up area 1578(146.6 sq.m.),3,3,2,5,north-east,Relatively New,1578.0,,,0,0,0,1,0,1,99
flat,Smart World Orchard,sector 61,1.7,15000,1133,Carpet area: 1150 (106.84 sq.m.),2,2,2,4,na,Undefined,,,1150.0,0,0,0,0,0,1,24
flat,DLF The Skycourt,sector 86,1.55,8031,1930,Super Built up area 1930(179.3 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,1,12,north-east,Relatively New,1930.0,1900.0,1350.0,0,0,0,1,0,0,153
flat,Godrej Oasis,sector 88a,1.45,8367,1733,Super Built up area 161Carpet area: 108.4 sq.m.,2,2,3+,9,na,Relatively New,161.0,,108.0,1,0,0,0,0,2,85
flat,Emaar MGF Palm Hills,sector 77,1.25,8620,1450,Carpet area: 1450 (134.71 sq.m.),3,2,3,1,west,Relatively New,,,1450.0,0,1,0,0,0,0,104
flat,Eldeco Accolade,sohna road,1.1,7549,1457,Super Built up area 1457(135.36 sq.m.),2,2,3+,17,na,Relatively New,1457.0,,,1,0,0,0,1,0,7
flat,AIPL The Peaceful Homes,sector 70a,1.6,9584,1669,Super Built up area 1565(145.39 sq.m.),2,2,2,22,north,Moderately Old,1565.0,,,0,0,0,0,0,1,86
house,International City By Sobha Phase,sector 109,6.25,11574,5403,Plot area 600(501.68 sq.m.),4,4,,2,east,Relatively New,,5411.0,,0,1,0,0,0,1,138
flat,Conscient Heritage Max,sector 102,1.7,11333,1500,Super Built up area 1942(180.42 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3+,8,north-east,Relatively New,1942.0,1700.0,1500.0,0,1,0,1,0,0,174
house,Independent,farukhnagar,2.3,2826,8137,Plot area 906(84.17 sq.m.),6,3,,0,na,Old,,906.0,,0,0,0,0,1,1,41
flat,Ambience Creacions,sector 22,1.65,11956,1380,Super Built up area 1380(128.21 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,9,east,Relatively New,1380.0,1200.0,1000.0,0,0,0,1,1,2,133
house,Independent,sector 49,4.5,15625,2884,Plot area 320(267.56 sq.m.),2,3,,3,north-east,Moderately Old,,2886.0,,1,1,1,1,0,2,151
flat,Pareena Coban Residences,sector 99a,1.23,6159,1997,Super Built up area 1997(185.53 sq.m.),3,2,3,5,north-east,Relatively New,1997.0,,,0,1,0,0,0,1,99
flat,Ireo Skyon,sector 60,3.75,13392,2800,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,4,3,12,north,Relatively New,2800.0,2650.0,2350.0,0,1,0,0,0,0,49
house,Arjun Marg,sector 26,31.5,35005,8998,Plot area 1000(836.13 sq.m.),2,3,,3,north-east,Moderately Old,,9018.0,,1,1,1,1,0,2,74
flat,Shapoorji Pallonji Joyville,sector 102,1.75,9449,1852,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,3,3,10,west,Relatively New,1852.0,,1128.0,1,1,0,1,1,1,49
flat,Emaar Palm Gardens,sector 83,1.8,9473,1900,Super Built up area 1900(176.52 sq.m.),3,3,3+,9,south,Relatively New,1900.0,,,0,0,0,0,0,1,55
flat,Ansal Height Height Plaza,sector 2,1.0,10000,1000,Built Up area: 1000 (92.9 sq.m.),2,3,0,1,na,Undefined,,1000.0,,0,0,0,0,0,1,0
flat,Professors Enclave Cghs,sector 56,1.55,7750,2000,Super Built up area 2000(185.81 sq.m.),3,3,3+,6,east,Moderately Old,2000.0,,,0,1,0,0,0,0,49
flat,Uphar Lakshya Homes,sector 105,0.42,4200,1000,Carpet area: 1000 (92.9 sq.m.),3,2,1,1,east,Relatively New,,,1000.0,0,0,0,0,0,1,7
flat,Emaar MGF Emerald Floors Premier,sector 65,2.85,14430,1975,Super Built up area 1975(183.48 sq.m.),4,4,3+,0,west,Relatively New,1975.0,,,1,1,0,0,0,0,151
flat,Pioneer Araya,sector 62,9.14,19488,4690,Super Built up area 4690(435.72 sq.m.)Carpet area: 3258 sq.ft. (302.68 sq.m.),4,2,3,16,east,Relatively New,4690.0,,3258.0,1,1,1,0,0,0,146
