property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Deepak Minda,manesar,1.25,4716,2651,Carpet area: 2650 (246.19 sq.m.),3,3,3+,6,na,Moderately Old,,,2650.0,0,1,0,0,0,1,44
flat,Sare Petioles,sector 92,1.3,6373,2040,Built Up area: 2040 (189.52 sq.m.),4,4,0,7,na,Undefined,,2040.0,,0,0,0,0,0,1,0
flat,Hero Homes,sector 104,1.9,11249,1689,Super Built up area 1689(156.91 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3,3,3,16,na,Under Construction,1689.0,,1082.0,0,0,0,1,0,0,103
flat,The Lions Cghs,sector 56,2.05,9534,2150,Super Built up area 2150(199.74 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,4,3,7,west,Relatively New,2150.0,2000.0,1950.0,0,1,0,0,1,0,49
flat,Godrej Nature Plus,sector 33,1.1,7971,1380,Carpet area: 1380 (128.21 sq.m.),2,2,2,14,north,Undefined,,,1380.0,0,0,0,0,0,1,56
house,ATS Tourmaline,sector 109,1.87,8697,2152,Built Up area: 2150 (199.74 sq.m.),3,4,,12,na,Undefined,,2150.0,,0,0,0,0,0,1,0
house,Housing Board Colony,sector 28,3.5,26013,1345,Plot area 150(125.42 sq.m.),2,2,,3,na,Relatively New,,1353.0,,0,0,0,0,0,1,0
flat,Tata Primanti,sector 72,4.0,13769,2905,Super Built up area 2905(269.88 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,2,3+,9,north-east,Relatively New,2905.0,2800.0,2500.0,0,1,0,0,0,0,165
flat,Sobha City,sector 108,2.6,15195,1711,Super Built up area 1711(158.96 sq.m.),3,3,2,8,east,Relatively New,1711.0,,,0,0,0,0,0,1,99
flat,Orchid Petals,sector 49,2.38,11497,2070,Super Built up area 2070(192.31 sq.m.)Built Up area: 2061 sq.ft. (191.47 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3,1,west,Relatively New,2070.0,2061.0,1750.0,1,0,0,0,0,1,49
flat,Supertech New Soft Launch,sector 68,0.84,7119,1180,Built Up area: 1180 (109.63 sq.m.),2,2,2,7,east,Undefined,,1180.0,,0,0,0,0,0,1,0
flat,M Woodshire,sector 107,0.75,5490,1366,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,3+,14,west,Relatively New,1366.0,,1050.0,0,0,0,1,0,1,174
flat,Breez Global Hill View,sohna road,0.35,5319,5922,Built Up area: 658 (61.13 sq.m.)Carpet area: 554.17 sq.ft. (51.48 sq.m.),2,2,2,18,na,New Property,,658.0,554.0,0,0,0,0,0,1,15
flat,Apna Enclave,sector 3,0.58,6105,8550,Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.),2,2,2,2,north-east,Old,950.0,900.0,744.0,0,0,0,0,0,1,66
flat,Zara Aavaas,sector 104,0.26,7807,2997,Built Up area: 301 (27.96 sq.m.),1,1,2,0,north-east,Relatively New,,301.0,,0,0,0,0,0,1,91
flat,Tulip Violet,sector 69,1.75,8882,1970,Super Built up area 1970(183.02 sq.m.),4,4,1,12,north-west,Relatively New,1970.0,,,0,0,0,0,0,1,86
flat,Signature Global Grand Iva,sector 103,0.24,6527,3312,Carpet area: 360 (33.45 sq.m.),1,1,1,4,north-east,Relatively New,,,360.0,0,0,0,0,0,1,23
flat,Suncity Avenue,sector 76,0.55,7422,6669,Carpet area: 741 (68.84 sq.m.),2,2,2,9,north-east,Undefined,,,741.0,0,0,0,0,0,1,26
house,Emaar MGF Marbella,sector 66,12.0,38049,3153,Plot area 350(292.64 sq.m.),5,2,,3,north-east,Relatively New,,3156.0,,0,1,1,0,0,0,153
flat,Whiteland The Aspen,sector 76,3.35,17615,1902,Carpet area: 1900 (176.52 sq.m.),3,4,3+,5,north-east,Under Construction,,,1900.0,0,1,0,0,0,2,151
flat,Mapsko Casa Bella,sector 82,1.75,6903,2535,Built Up area: 2535 (235.51 sq.m.)Carpet area: 1960 sq.ft. (182.09 sq.m.),4,2,3+,1,west,Undefined,,2535.0,1960.0,0,0,0,0,0,1,54
flat,Smart World Gems,sector 89,1.05,9519,1103,Built Up area: 1103 (102.47 sq.m.),2,2,2,4,na,Under Construction,,1103.0,,1,0,0,0,1,1,38
flat,ATS Triumph,sector 104,2.52,8000,3150,Super Built up area 3150(292.64 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3+,19,north-east,Relatively New,3150.0,2800.0,2400.0,0,1,1,0,0,0,156
flat,Parkwood Westend,sector 92,0.7,5204,1345,Super Built up area 1345(124.95 sq.m.),2,2,3,5,na,Undefined,1345.0,,,1,0,0,0,0,1,0
flat,Unitech Uniworld Gardens,sector 47,2.4,11505,2086,Super Built up area 2086(193.8 sq.m.),3,3,3+,10,na,Moderately Old,2086.0,,,0,1,0,0,0,0,120
flat,DLF Regal Gardens,sector 90,1.25,7167,1744,Super Built up area 1744(162.02 sq.m.),3,3,2,11,east,Relatively New,1744.0,,,0,0,0,0,1,1,14
flat,Ramsons Kshitij,sector 95,0.19,591,3215,Carpet area: 3212 (298.4 sq.m.),1,1,1,14,east,Relatively New,,,3212.0,0,0,0,0,0,1,49
flat,Sare Homes,sector 92,0.5,4237,1180,Super Built up area 1180(109.63 sq.m.),3,3,2,1,north,Relatively New,1180.0,,,0,0,0,0,0,1,26
flat,SS Residency Residency The Leaf,sector 85,1.3,7779,1671,Super Built up area 1671(155.24 sq.m.)Carpet area: 1169 sq.ft. (108.6 sq.m.),2,2,3+,16,east,Relatively New,1671.0,,1169.0,0,0,1,0,0,1,148
flat,Godrej Aria,sector 79,1.3,9622,1351,Super Built up area 1351(125.51 sq.m.),2,4,2,3,east,Relatively New,1351.0,,,0,0,0,0,0,1,53
flat,Central Park Flower Valley,sector 33,2.5,13270,1884,Carpet area: 1884 (175.03 sq.m.),3,3,2,1,na,Undefined,,,1884.0,0,0,0,0,0,1,66
flat,Pareena Mi Casa,sector 68,1.85,9310,1987,Super Built up area 1987(184.6 sq.m.),3,3,3+,13,na,Undefined,1987.0,,,0,0,0,0,0,1,47
house,Emaar MGF Marbella,sector 66,12.0,37038,3239,Plot area 360(301.01 sq.m.),4,4,,3,east,Relatively New,,3247.0,,1,1,1,1,0,0,160
flat,M The Marina,sector 68,1.0,12500,7200,Carpet area: 800 (74.32 sq.m.),2,2,3,21,na,Relatively New,,,800.0,0,0,0,0,0,1,31
house,Suncity Essel Towers,sector 28,6.0,22222,2701,Plot area 300(250.84 sq.m.),4,4,,3,east,Old,,2706.0,,1,0,0,0,0,0,89
flat,Espire South,sector 68,1.32,9050,1459,Built Up area: 1460 (135.64 sq.m.),2,2,2,9,na,New Property,,1460.0,,0,0,0,0,0,1,0
flat,Sanskriti Apartments,sector 43,2.5,13513,1850,Super Built up area 1850(171.87 sq.m.),3,2,3,5,east,Old,1850.0,,,1,0,0,0,0,1,0
flat,Imperia The Esfera,sector 37c,1.1,5405,2035,Super Built up area 2035(189.06 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,9,west,Relatively New,2035.0,,1760.0,1,1,0,0,0,1,49
flat,DLF The Primus,sector 82a,1.85,10176,1818,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15,east,Moderately Old,1818.0,,1538.0,0,0,0,0,1,1,38
flat,Shapoorji Pallonji Joyville,sector 102,1.4,10378,1349,Super Built up area 1349(125.33 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,11,north-east,New Property,1349.0,,1000.0,0,0,0,0,0,0,49
flat,Ireo Victory Valley,sector 67,3.65,13528,2698,Super Built up area 2698(250.65 sq.m.)Built Up area: 2490 sq.ft. (231.33 sq.m.),3,4,3+,18,north,Relatively New,2698.0,2490.0,,0,1,0,1,0,0,61
house,Independent,sector 54,5.0,43011,1162,Plot area 129(107.86 sq.m.),4,2,,5,north,Relatively New,,1163.0,,0,1,0,0,0,2,49
house,Independent,sector 2,1.15,19360,5328,Plot area 66(55.18 sq.m.),3,3,,2,south-east,Old,,595.0,,0,0,0,0,0,0,32
house,Vatika Signature Villas,sector 82,4.7,21759,2163,Plot area 240(200.67 sq.m.),3,3,,3,na,New Property,,2164.0,,0,1,0,0,0,1,33
flat,Emaar MGF Emerald Floors Premier,sector 65,2.65,16060,1650,Carpet area: 1650 (153.29 sq.m.),3,3,3,5,north,Relatively New,,,1650.0,1,1,0,0,0,1,37
flat,Today Callidora,sector 73,0.9,5548,1622,Built Up area: 1622 (150.69 sq.m.),3,3,3,3,east,Undefined,,1622.0,,0,1,0,0,0,1,63
flat,Antriksh Heights,sector 84,0.73,6083,1200,Super Built up area 1200(111.48 sq.m.)Carpet area: 870 sq.ft. (80.83 sq.m.),2,2,3+,4,north-west,Relatively New,1200.0,,870.0,1,0,1,1,0,1,158
flat,Pivotal Devaan,sector 84,0.35,6003,5247,Super Built up area 583(54.16 sq.m.),2,2,1,4,east,Relatively New,583.0,,,0,0,0,0,0,1,37
house,Bhim Nagar,sector 6,0.85,14624,5229,Plot area 67(6.22 sq.m.),5,2,,1,na,Old,,67.0,,0,0,0,1,0,1,29
flat,Ansal Height Height Api Esencia,sector 67,1.2,7407,1620,Carpet area: 180 (150.5 sq.m.),3,3,2,1,na,Undefined,,,180.0,0,0,0,0,0,1,0
house,Ansal Height Heights Palam Vihar,sector 2,5.7,14729,3875,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,2,,2,north-east,Old,,4550.0,4450.0,0,0,0,1,0,2,94
flat,Ireo The Corridors,sector 67a,1.62,9380,1727,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3,1,2,4,north,New Property,1727.0,,1017.0,0,0,1,0,0,0,142
flat,GLS Arawali Homes,sohna road,0.35,6076,5184,Super Built up area 576(53.51 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,11,na,Relatively New,576.0,,480.0,0,0,0,0,0,1,64
flat,Puri Diplomatic Greens,sector 111,3.45,11694,2950,Super Built up area 2950(274.06 sq.m.),4,2,3+,9,north-east,Relatively New,2950.0,,,0,1,0,0,0,1,68
flat,Emaar MGF Emerald Floors Premier,sector 65,2.24,13575,1650,Carpet area: 1650 (153.29 sq.m.),3,3,3,2,north-west,Relatively New,,,1650.0,1,1,0,0,0,1,46
flat,Dhoot Time Residency,sector 63,3.0,18271,1642,Built Up area: 1642 (152.55 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3+,14,na,Relatively New,,1642.0,1500.0,0,1,0,0,0,0,0
flat,Emaar MGF Emerald Floors Premier,sector 65,2.36,14303,1650,Super Built up area 1650(153.29 sq.m.),3,3,3,0,north-east,Relatively New,1650.0,,,1,1,0,0,0,0,159
flat,Godrej,sector 79,1.41,9000,1567,Carpet area: 1572 (146.04 sq.m.),2,2,3,3,na,New Property,,,1572.0,1,0,0,0,0,1,104
house,BPTP Astaire Gardens,sector 70a,1.18,8137,1453,Carpet area: 1450 (134.71 sq.m.),3,3,,2,north-east,Relatively New,,,1450.0,0,0,0,0,1,0,153
flat,Mapsko Royale Ville,sector 82,0.99,5530,1790,Super Built up area 1790(166.3 sq.m.),3,4,2,14,south-west,New Property,1790.0,,,0,1,0,0,0,1,95
house,Independent,sector 49,4.45,15451,2884,Plot area 320(267.56 sq.m.),6,2,,3,north,Moderately Old,,2886.0,,1,1,1,1,0,2,152
flat,Emaar  Greens,sector 102,1.55,9393,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,4,3,7,north,Relatively New,1650.0,,1023.0,0,1,0,0,0,0,152
flat,Tulip Monsella,sector 53,6.02,20816,2892,Built Up area: 2892 (268.68 sq.m.),3,3,3,29,na,Under Construction,,2892.0,,0,0,0,0,0,1,68
flat,Umang Monsoon Breeze,sector 78,0.7,5719,1224,Built Up area: 1224 (113.71 sq.m.),2,2,2,5,na,Undefined,,1224.0,,0,0,0,0,0,1,0
flat,Tulip Violet,sector 69,1.4,8840,1584,Super Built up area 1578(146.6 sq.m.),3,3,2,1,north-east,Relatively New,1578.0,,,0,0,0,0,0,1,95
house,Ansal Height Heights Palam Vihar,sector 2,2.75,17662,1560,Plot area 173(144.65 sq.m.),3,3,,2,na,Moderately Old,,1560.0,,1,0,0,1,0,0,15
flat,Professors Enclave Cghs,sector 56,1.54,8324,1850,Super Built up area 2000(185.81 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,2,6,south,Old,2000.0,1920.0,1850.0,0,1,0,1,0,0,104
flat,Pioneer Urban Presidia,sector 62,7.15,16486,4337,Super Built up area 4337(402.92 sq.m.),4,2,3+,7,east,Relatively New,4337.0,,,1,1,1,0,0,0,158
flat,Microtek Greenburg,sector 86,1.3,8756,1485,Super Built up area 1480(137.5 sq.m.),2,2,3,10,na,Relatively New,1480.0,,,1,0,0,0,0,1,38
house,Ireo Victory Valley,sector 67,8.0,22222,3595,Plot area 400(334.45 sq.m.),6,3,,3,north-east,Moderately Old,,3607.0,,1,1,1,1,0,0,151
flat,Tulip Ivory,sector 70,5.0,10416,4800,Carpet area: 4800 (445.93 sq.m.),6,2,3+,0,na,Relatively New,,,4800.0,1,1,0,0,0,1,119
flat,Emaar MGF Emerald Floors Premier,sector 65,2.35,14242,1650,Carpet area: 1650 (153.29 sq.m.),3,3,3,3,east,Relatively New,,,1650.0,1,1,0,0,0,0,124
flat,Tulip Violet,sector 69,1.7,8445,2013,Super Built up area 2010(186.74 sq.m.),4,4,2,7,west,Relatively New,2010.0,,,0,0,0,0,0,1,128
flat,Smart World Gems,sector 89,1.01,9156,1103,Carpet area: 1103 (102.47 sq.m.),2,2,2,4,na,Under Construction,,,1103.0,1,0,0,0,0,1,38
flat,Tulip Violet,sector 69,1.37,8907,1538,Super Built up area 1538(142.88 sq.m.),3,3,1,12,north-east,Relatively New,1538.0,,,0,0,0,0,0,1,116
flat,SS Residency Residency Residency,sector 6,0.48,5333,8100,Carpet area: 100 (83.61 sq.m.),3,2,2,2,na,Moderately Old,,,100.0,0,0,0,0,0,1,54
flat,ROF Ananda,sector 95,0.2,5463,3294,Carpet area: 366.08 (34.01 sq.m.),1,1,1,9,south-west,Relatively New,,,366.0,0,0,0,1,0,1,52
flat,Signature Global Solera,sector 107,0.27,5521,4401,Carpet area: 489 (45.43 sq.m.),2,2,2,0,north-east,Relatively New,,,489.0,0,0,0,0,0,1,45
flat,BPTP Terra,sector 37d,1.45,8006,1811,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8,south-east,Relatively New,1811.0,1711.0,1611.0,0,0,0,0,0,1,149
flat,Ramsons Kshitij,sector 95,0.32,4500,6399,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),2,2,1,8,na,Relatively New,700.0,,443.0,0,0,0,0,1,2,28
flat,Mapsko Mount Ville,sector 79,1.65,9091,1815,Built Up area: 1815 (168.62 sq.m.),3,3,0,12,na,Undefined,,1815.0,,0,0,0,0,0,1,0
house,Emaar MGF Marbella,sector 66,9.01,16066,5607,Plot area 521,4,4,,3,north-east,Relatively New,,5575.0,,0,1,1,0,0,1,122
house,Independent,sector 3,1.0,6667,1496,Built Up area: 1500 (139.35 sq.m.),1,1,,1,na,Undefined,,1500.0,,0,0,0,0,0,1,0
house,Project Mianwali Colony,sector 12,2.0,14815,1345,Built Up area: 1350 (125.42 sq.m.),5,2,,3,east,Undefined,,1350.0,,0,0,0,0,0,1,0
flat,La Lagune,sector 54,6.75,21360,3160,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,2,3+,11,east,Moderately Old,3160.0,2455.0,2240.0,0,1,0,0,0,0,119
house,Independent,rosewood,2.8,22075,1377,Plot area 153(127.93 sq.m.),3,3,,2,east,Moderately Old,,1380.0,,1,1,1,1,0,0,93
flat,Emaar Palm Gardens,sector 83,1.8,9474,1900,Built Up area: 1900 (176.52 sq.m.),3,4,0,9,na,Undefined,,1900.0,,0,0,0,0,0,1,55
house,Independent,sector 37d,1.16,7539,1539,Built Up area: 1535 (142.61 sq.m.),1,1,,1,na,Undefined,,1535.0,,0,0,0,0,0,1,0
flat,Breez Global Hill View,sohna road,0.42,7174,5265,Carpet area: 585.41 (54.39 sq.m.),2,2,1,18,na,Relatively New,,,585.0,0,0,0,0,0,1,44
flat,Citizen Apartment,sector 51,3.55,6826,5201,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4700 sq.ft. (436.64 sq.m.),5,2,3+,11,north,Moderately Old,,5200.0,4700.0,1,1,1,1,0,0,157
flat,Irwo Westend Towers,sector 47,0.65,12059,4851,Carpet area: 539 (50.07 sq.m.),1,1,2,3,na,Old,,,539.0,0,0,0,0,0,1,56
house,Independent,sector 12,1.35,12222,1345,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,2,,3,na,Old,,2052.0,,0,0,0,0,0,1,31
flat,Ramprastha The Edge Towers,sector 37d,1.0,5649,1770,Super Built up area 1770(164.44 sq.m.),3,3,3+,13,na,Moderately Old,1770.0,,,0,0,0,0,0,1,38
flat,Mahindra Luminare,sector 59,5.5,18181,3025,Super Built up area 3025(281.03 sq.m.),3,3,1,26,na,New Property,3025.0,,,0,1,0,0,0,1,24
flat,Antriksh Heights,sector 84,0.54,4458,1211,Super Built up area 1200(111.48 sq.m.),2,2,3+,17,north-west,Relatively New,1200.0,,,0,0,0,0,0,1,81
house,Signature Global City,sector 37d,1.27,8089,1571,Plot area 1570(145.86 sq.m.),3,1,,4,east,New Property,,1570.0,,0,0,0,1,0,1,89
flat,Hsiidc Sidco Aravali,manesar,0.91,3516,2588,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8,east,Moderately Old,2588.0,1900.0,,0,1,0,0,0,1,23
house,Luxury DLF City Floors,sector 26,8.25,45895,1797,Plot area 200(167.23 sq.m.),3,1,,4,north,New Property,,1804.0,,0,1,0,0,0,0,105
flat,Emaar  Greens,sector 102,1.4,8484,1650,Super Built up area 1650(153.29 sq.m.),3,1,3,4,north,Relatively New,1650.0,,,0,1,0,0,0,0,83
house,Independent,sector 70a,2.1,3871,5425,Carpet area: 600 (55.74 sq.m.),3,2,,3,na,New Property,,,600.0,0,0,0,0,0,1,0
flat,Vatika,sector 83,1.12,6455,1735,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,17,south,Moderately Old,1735.0,1500.0,1400.0,0,0,0,0,0,0,111
flat,Birla Navya,sector 63a,3.5,25926,1350,Carpet area: 1350 (125.42 sq.m.),3,3,3,1,na,Undefined,,,1350.0,0,0,0,0,0,1,38
house,Emaar MGF Marbella,sector 66,12.0,38049,3153,Plot area 350(292.64 sq.m.),5,2,,4,north-east,New Property,,3156.0,,0,1,0,1,0,1,38
flat,Paras Dews,sector 106,0.87,9255,8460,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 940 sq.ft. (87.33 sq.m.),2,2,3+,1,north-east,New Property,1385.0,1120.0,940.0,0,0,0,0,0,1,174
flat,Godrej Aria,sector 79,1.7,7426,2289,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3,4,3+,6,east,New Property,2289.0,,1121.0,0,1,0,0,0,1,81
flat,M Heights,sector 65,2.0,13957,1433,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32,na,Undefined,,1433.0,1000.0,0,0,0,0,0,1,0
house,Greenopolis,sector 89,0.7,5397,1302,Built Up area: 1297 (120.5 sq.m.),2,2,,14,north-east,Undefined,,1297.0,,0,0,0,0,0,1,0
house,Independent,sector 3 phase 2,0.4,8000,4455,Built Up area: 500 (46.45 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,1,,1,south,Undefined,,500.0,300.0,0,0,0,0,0,1,0
flat,DLF The Arbour,sector 63,7.52,19000,3958,Built Up area: 3956 (367.52 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3,15,west,Undefined,,3956.0,2200.0,0,0,0,0,0,1,61
flat,Paras Irene,sector 70a,1.3,9219,1410,Super Built up area 1420(131.92 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),2,2,3,19,na,Moderately Old,1420.0,,1410.0,0,0,0,0,0,0,49
flat,Paras Dews,sector 106,1.25,10656,1173,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,14,east,Relatively New,1900.0,1305.0,1173.0,1,1,0,0,0,1,167
house,Independent,sector 56,2.99,20635,1453,Plot area 161(134.62 sq.m.),4,4,,2,south,Moderately Old,,1452.0,,1,1,0,1,0,0,49
flat,Tulip Violet,sector 69,1.7,8457,2010,Super Built up area 2010(186.74 sq.m.),4,4,2,1,south,Relatively New,2010.0,,,0,0,0,0,0,1,126
flat,DLF Exclusive Floors,sector 43,2.35,14242,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1405 sq.ft. (130.53 sq.m.),3,3,2,1,north-east,Old,1650.0,,1405.0,0,0,1,0,0,0,102
house,Unitech Espace,sector 50,7.45,34434,2163,Plot area 240(200.67 sq.m.)Built Up area: 4500 sq.yards (3762.57 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),4,4,,3,na,Old,,4500.0,4000.0,0,1,0,0,0,0,59
flat,Ramprastha City,dwarka expressway,1.3,9027,1440,Super Built up area 1440(133.78 sq.m.),3,3,2,3,na,New Property,1440.0,,,0,0,0,0,0,1,0
flat,Shri Banke Bihari Society,sector 56,1.35,9642,1400,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,1,3+,4,na,Old,1500.0,1450.0,1400.0,0,0,0,0,1,0,174
flat,Today Callidora,sector 73,1.0,7692,1300,Carpet area: 1300 (120.77 sq.m.),2,2,2,13,na,New Property,,,1300.0,0,0,0,0,0,1,0
flat,Paras Dews,sector 106,0.92,6642,1385,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2,east,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,1,174
house,Independent,sector 26,23.0,25559,8998,Plot area 1000(836.13 sq.m.),4,4,,2,south-west,Relatively New,,9018.0,,1,1,1,1,0,0,145
flat,Indiabulls Enigma,sector 110,4.1,10567,3880,Super Built up area 3880(360.46 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),5,2,2,10,east,Relatively New,3880.0,3500.0,3000.0,0,1,0,0,0,1,159
flat,Alpha Corp One,sector 84,1.5,7641,1963,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,20,north-west,Relatively New,1963.0,,1700.0,0,1,0,0,0,0,37
house,Independent,sector 12,2.9,10740,2701,Plot area 2700(250.84 sq.m.),3,4,,2,south-west,Old,,2700.0,,0,0,0,0,0,1,7
flat,ATS Tourmaline,sector 109,1.4,8000,1750,Super Built up area 1750(162.58 sq.m.),3,3,3+,9,east,Relatively New,1750.0,,,0,0,0,0,0,1,95
house,Independent,sector 10a,4.25,17955,2368,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,,1,north-east,Undefined,,2367.0,1800.0,0,0,0,0,0,1,0
flat,MVN Athens,sohna road,0.26,5397,4338,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2,na,Relatively New,,,482.0,0,0,0,0,0,1,37
house,Independent,sector 4,5.0,10101,4951,Plot area 550(459.87 sq.m.),3,3,,1,north-east,Old,,4960.0,,0,0,0,0,0,1,22
flat,Signature Global Grand Iva,sector 103,0.3,8290,3258,Carpet area: 361.88 (33.62 sq.m.),1,2,2,5,na,New Property,,,362.0,0,0,0,0,0,1,37
flat,Breez Global Hill View,sohna road,0.3,5124,5265,Carpet area: 585.41 (54.39 sq.m.),2,2,1,11,north,New Property,,,585.0,0,0,0,0,0,1,91
flat,DLF New Town Heights,sector 90,1.3,6735,1930,Super Built up area 1930(179.3 sq.m.)Built Up area: 1929 sq.ft. (179.21 sq.m.)Carpet area: 1928 sq.ft. (179.12 sq.m.),3,3,3+,10,south,Relatively New,1930.0,1929.0,1928.0,0,1,0,1,0,0,129
house,DLF City Plots Phase,sector 24,1.44,2973,4843,Plot area 60(50.17 sq.m.),4,2,,1,na,Old,,541.0,,0,0,0,0,0,1,8
house,Independent,acharya puri,2.25,9615,2335,Plot area 260(217.39 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 245 sq.yards (204.85 sq.m.),3,2,,1,north-east,Old,,2255.0,245.0,0,1,0,1,0,1,8
flat,Sobha City,sector 108,2.4,17378,1381,Super Built up area 1381(128.3 sq.m.),2,2,2,14,na,New Property,1381.0,,,0,0,0,0,0,0,113
house,Independent,sector 45,8.5,26235,3239,Plot area 360(301.01 sq.m.),5,4,,1,north-east,Moderately Old,,3247.0,,0,1,0,1,0,0,49
flat,Trisara Our Homes,sohna road,0.4,6561,5490,Carpet area: 602 (55.93 sq.m.),2,2,1,0,south,New Property,,,602.0,0,0,0,0,0,0,90
house,Independent,sector 13,0.62,3556,1743,Built Up area: 192 (17.84 sq.m.),2,2,,3,na,Undefined,,192.0,,0,0,0,0,0,1,0
flat,Silverglades The Melia,sohna road,0.91,6800,1338,Super Built up area 1350(125.42 sq.m.),2,2,3,1,na,New Property,1350.0,,,1,0,0,0,0,1,72
flat,SBTL Caladium,sector 109,1.88,6153,3055,Super Built up area 3055(283.82 sq.m.),4,2,3,10,north-east,Relatively New,3055.0,,,0,0,0,0,0,1,110
flat,M Skywalk,sector 74,1.5,12500,1200,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,17,north-east,Relatively New,1400.0,1300.0,1200.0,0,0,1,0,0,1,174
flat,Shree Vardhman Flora,sector 90,0.7,5177,1352,Carpet area: 1352 (125.6 sq.m.),2,3,2,7,north,Relatively New,,,1352.0,1,0,0,0,0,0,49
flat,Krrish Provence Estate,gwal pahari,5.5,9482,5800,Super Built up area 5800(538.84 sq.m.),4,2,3+,11,east,New Property,5800.0,,,1,1,0,1,0,1,151
flat,Vatika City,sector 49,1.98,9074,2182,Super Built up area 2182(202.71 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3,9,south-east,Moderately Old,2182.0,1670.0,1670.0,0,1,0,0,0,0,101
