property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Emaar Palm Premier,Sector 77,2.1,10500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3+,11,na,New Property,,2000.0,1600.0,1500.0,0,1,0,0,0,2,129
flat,Godrej Nature Plus,Sector 33,1.9,9849.0,1929.0,Carpet area: 1929 (179.21 sq.m.),3,3,3+,14,na,New Property,,,,1929.0,0,1,0,0,0,0,96
flat,Godrej Aria,Sector 79,1.1,11482.0,958.0,Super Built up area 89,2,2,3,9,na,New Property,,89.0,,,0,0,0,0,0,0,62
flat,Ramsons Kshitij,Sector 95,0.32,4500.0,711.0,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),2,2,1,8,na,Relatively New,,700.0,,443.37,0,0,0,0,1,1,28
flat,Conscient One,Sector 109,1.7,17617.0,965.0,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1,1,2,9,na,Undefined,,,965.0,628.0,0,0,0,0,0,0,0
flat,Pareena Laxmi Apartments,Sector 99A,0.32,6106.0,524.0,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2,2,2,2,na,New Property,,524.0,,424.85,0,0,0,0,0,0,50
flat,Pyramid Elite,Sector 86,0.45,7739.0,581.0,Carpet area: 581.41 (54.01 sq.m.),2,2,1,4,na,New Property,,,,581.36,0,0,0,0,0,0,66
flat,Raheja Revanta,Sector 78,1.2,10018.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1,2,2,32,na,Undefined,,505.04,,505.0,0,0,0,0,0,0,39
flat,M Skycity,Sector 65,2.1,16030.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43,na,New Property,,1310.0,,,0,0,0,0,0,0,127
flat,Independent,Sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,1,3,na,Relatively New,,,,750.0,0,0,0,0,0,2,26
flat,Godrej Nature Plus,Sector 33,1.55,9955.0,1557.0,Carpet area: 1557 (144.65 sq.m.),3,2,3+,8,east,New Property,,,,1557.0,0,0,0,0,0,0,43
flat,Ramprastha City,Dwarka Expressway,1.3,9027.0,1440.0,Super Built up area 1440(133.78 sq.m.),3,3,2,3,na,New Property,,1440.0,,,0,0,0,0,0,0,0
flat,Smartworld,Sector 113,2.75,10589.0,2597.0,Carpet area: 2597 (241.27 sq.m.),4,4,3+,20,east,Under Construction,,,,2597.0,1,1,0,1,0,1,57
flat,Ansal Height Height Housing Highland Park,Sector 103,1.25,6443.0,1940.0,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2,north-east,New Property,,1940.0,,1056.0,0,0,0,1,0,0,105
flat,Czar Mahira Homes,Sector 63A,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,-1,na,Undefined,,,,567.0,0,0,0,0,0,0,0
flat,Breez Global Heights,Sohna Road,0.4,6420.0,623.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,1,4,north-east,New Property,,623.0,,599.0,0,0,0,0,0,0,49
flat,Trisara Our Homes,Sohna Road,0.34,5405.0,629.0,Carpet area: 629 (58.44 sq.m.),2,2,1,0,na,New Property,,,,629.0,0,0,0,0,0,0,0
flat,M Soulitude,Sector 89,1.25,8784.0,1423.0,Super Built up area 1423(132.2 sq.m.),3,3,3,3,east,New Property,,1423.0,,,1,0,0,0,1,0,0
flat,Emaar MGF Palm Hills,Sector 77,1.5,12744.0,1177.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,3,3,4,north-east,Relatively New,,1450.0,,1177.0,0,0,0,0,0,2,97
flat,Ramprastha City,Dwarka Expressway,1.3,9285.0,1400.0,Super Built up area 1400(130.06 sq.m.),3,3,2,3,na,New Property,,1400.0,,,0,0,0,0,0,0,0
flat,Pareena Coban Residences,Sector 99A,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,6,na,New Property,,2000.0,,,0,0,0,0,0,0,0
flat,La Vida By Tata Housing,Sector 113,1.5,11755.0,1276.0,Carpet area: 1276 (118.54 sq.m.),2,2,2,13,na,New Property,,,,1276.0,0,0,0,0,0,0,71
flat,La Vida By Tata Housing,Sector 113,1.5,11755.0,1276.0,Super Built up area 1276(118.54 sq.m.),2,2,2,13,na,New Property,,1276.0,,,0,0,0,0,0,0,60
