property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,area_in_sq_ft,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Microtek Greenburg,Sector 86,1.3,15294.0,850.0,Carpet area: 850 (78.97 sq.m.),2,3,3,5,north-east,Relatively New,,,,850.0,1,0,0,0,0,2,45
flat,Bestech Park View Sanskruti,Sector 92,1.6,7547.0,2120.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10,east,Relatively New,,2120.0,,1450.0,0,1,0,0,0,2,60
flat,Microtek Greenburg,Sector 86,1.93,8446.0,2285.0,Super Built up area 2285(212.28 sq.m.),3,4,3,12,east,Relatively New,,2285.0,,,0,1,0,0,0,0,72
flat,Bestech Park View Sanskruti,Sector 92,1.42,7760.0,1830.0,Super Built up area 1920(178.37 sq.m.),3,3,2,10,east,Relatively New,,1920.0,,,0,0,0,0,0,0,117
flat,DLF The Ultima,Sector 81,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,4,3+,17,east,Relatively New,,2100.0,,,0,1,0,0,0,1,49
flat,DLF The Skycourt,Sector 86,1.35,6998.0,1929.0,Super Built up area 1929(179.21 sq.m.),3,3,1,9,north-west,Relatively New,,1929.0,,,0,0,0,0,0,0,119
flat,Microtek Greenburg,Sector 86,1.65,8707.0,1895.0,Super Built up area 1895(176.05 sq.m.),3,4,3,8,north-west,Relatively New,,1895.0,,,0,1,0,0,0,0,124
flat,Parsvnath Green Ville,Sector 48,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,1,north-west,Moderately Old,,1650.0,,,0,0,1,0,0,1,174
flat,Paras Dews,Sector 106,1.1,9734.0,1130.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,8,north-west,Relatively New,,1760.0,1186.0,1130.0,0,1,0,0,0,2,174
flat,Pareena Coban Residences,Sector 99A,1.23,6159.0,1997.0,Super Built up area 1997(185.53 sq.m.),3,5,3,5,north-east,Relatively New,,1997.0,,,0,1,0,0,0,0,99
flat,Bestech Park View Sanskruti,Sector 92,1.5,7812.0,1920.0,Super Built up area 1920(178.37 sq.m.),3,3,3,3,east,Relatively New,,1920.0,,,0,0,0,0,1,0,49
flat,Shree Vardhman Flora,Sector 90,0.65,5000.0,1300.0,Super Built up area 1300(120.77 sq.m.),2,2,2,12,east,Old,,1300.0,,,1,0,0,0,0,0,103
flat,Shree Vardhman Flora,Sector 90,0.64,4923.0,1300.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,3,6,east,Old,,1300.0,,1100.0,1,0,0,0,0,0,103
flat,BPTP Terra,Sector 37D,1.65,8790.0,1877.0,Super Built up area 1877(174.38 sq.m.),3,3,2,15,east,Relatively New,,1877.0,,,0,0,0,0,0,0,116
flat,BPTP Terra,Sector 37D,1.17,8297.0,1410.0,Super Built up area 1410(130.99 sq.m.),2,2,2,0,north-east,Relatively New,,1410.0,,,0,0,0,0,0,0,107
flat,BPTP Terra,Sector 37D,1.45,8006.0,1811.0,Super Built up area 1811(168.25 sq.m.),3,3,3,9,north-east,Relatively New,,1811.0,,,0,0,0,0,0,0,107
flat,Shapoorji Pallonji Joyville,Sector 102,1.95,13928.0,1400.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,6,north-east,New Property,,1852.0,,1400.0,0,0,0,1,0,2,174
flat,Bestech Park View Grand Spa,Sector 81,4.2,10000.0,4200.0,Super Built up area 4200(390.19 sq.m.)Carpet area: 2900 sq.ft. (269.42 sq.m.),4,4,3+,25,south,Relatively New,,4200.0,,2900.0,0,1,0,0,0,2,90
flat,Bestech Park View Sanskruti,Sector 92,1.55,7769.0,1995.0,Super Built up area 1995(185.34 sq.m.),3,4,3,8,north,Relatively New,,1995.0,,,0,1,0,0,0,0,49
flat,SS Residency Residency The Leaf,Sector 85,1.58,7714.0,2048.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 2048 sq.ft. (190.27 sq.m.),3,4,3,8,east,Relatively New,,2408.0,,2048.0,0,1,0,0,0,0,159
flat,Bestech Park View Spa Next,Sector 67,2.32,11989.0,1935.0,Super Built up area 1935(179.77 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,14,north-east,Moderately Old,,1935.0,,1600.0,0,1,0,0,0,2,59
flat,Microtek Greenburg,Sector 86,1.25,8445.0,1480.0,Super Built up area 1480(137.5 sq.m.),3,4,3,0,south-west,Relatively New,,1480.0,,,1,0,0,0,0,0,49
flat,Ireo The Grand Arch,Sector 58,2.2,13480.0,1632.0,Super Built up area 1632(151.62 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1232 sq.ft. (114.46 sq.m.),2,2,1,5,north-east,Relatively New,,1632.0,1432.0,1232.0,1,0,0,0,0,2,94
flat,Paras Dews,Sector 106,1.4,9978.0,1403.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,10,north-west,Relatively New,,2355.0,1535.0,1403.0,0,1,0,0,0,0,174
flat,Paras Dews,Sector 106,1.2,11605.0,1034.0,Super Built up area 1665(154.68 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 1034 sq.ft. (96.06 sq.m.),3,3,3,12,north-west,Relatively New,,1665.0,1145.0,1034.0,1,0,0,0,0,0,158
flat,Vatika Xpressions,Sector 88B,0.92,7360.0,1250.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,2,3,north,Relatively New,,1350.0,1300.0,1250.0,0,0,0,1,0,0,174
flat,Paras Dews,Sector 106,1.25,10656.0,1173.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,14,east,Relatively New,,1900.0,1305.0,1173.0,1,1,0,0,0,0,167
flat,Paras Dews,Sector 106,1.25,11061.0,1130.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,7,south-east,Relatively New,,1760.0,1186.0,1130.0,1,1,0,0,0,0,167
flat,Vatika City,Sector 49,1.85,10578.0,1749.0,Super Built up area 1748.87(162.48 sq.m.)Built Up area: 1471.12 sq.ft. (136.67 sq.m.),3,3,1,7,south-west,Moderately Old,,1471.1,1471.1,,0,0,1,1,0,0,158
flat,Vatika City,Sector 49,1.69,8622.0,1960.0,Carpet area: 1960 (182.09 sq.m.),3,3,3,3,north,Moderately Old,,,,1960.0,0,0,0,1,0,0,136
flat,Emaar MGF The Palm Drive,Sector 66,3.5,15901.0,2201.0,Super Built up area 2201(204.48 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,2,4,south,Relatively New,,2201.0,2200.0,1800.0,1,0,0,0,0,0,89
flat,Emaar MGF The Palm Drive,Sector 66,1.51,15130.0,998.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),2,2,2,5,north,Relatively New,,1200.0,1188.0,998.0,0,0,0,1,0,2,82
flat,Parsvnath Green Ville,Sector 48,1.86,7654.0,2430.0,Super Built up area 2430(225.75 sq.m.),3,3,3+,6,north,Moderately Old,,2430.0,,,0,1,0,0,0,2,94
flat,Experion The Heartsong,Sector 108,1.7,8487.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,14,south-east,Relatively New,,2003.0,1140.97,1140.97,0,1,0,0,0,0,119
flat,Experion The Heartsong,Sector 108,2.0,8554.0,2338.0,Super Built up area 2338(217.21 sq.m.),3,3,3+,14,east,Relatively New,,2338.0,,,0,1,0,0,0,0,95
flat,Godrej Summit,Sector 104,1.25,6778.0,1844.0,Super Built up area 1844(171.31 sq.m.),3,4,3+,12,east,Relatively New,,1844.0,,,0,1,0,0,1,0,79
flat,Godrej Summit,Sector 104,0.98,5950.0,1647.0,Super Built up area 1647(153.01 sq.m.),3,3,3,12,east,Relatively New,,1647.0,,,0,0,0,0,1,0,79
flat,Godrej Summit,Sector 104,0.85,5878.0,1446.0,Super Built up area 1446(134.34 sq.m.)Built Up area: 1269 sq.ft. (117.89 sq.m.)Carpet area: 777 sq.ft. (72.19 sq.m.),2,2,3+,10,east,Relatively New,,1446.0,1269.0,777.0,1,0,0,0,0,0,79
flat,Godrej Summit,Sector 104,0.75,5910.0,1269.0,Super Built up area 1269(117.89 sq.m.),2,2,3,6,east,Relatively New,,1269.0,,,0,0,0,0,1,0,79
flat,Signature Global Solera,Sector 107,0.3,6134.0,489.0,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5,east,Relatively New,,602.0,,489.0,0,0,0,0,0,0,57
flat,ATS Kocoon,Sector 109,1.7,9742.0,1745.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3,3,3,22,east,Relatively New,,1745.0,1550.0,,0,0,0,0,0,0,74
flat,ATS Tourmaline,Sector 109,1.4,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3+,12,north-west,Relatively New,,1750.0,,,0,0,0,0,1,0,65
flat,Ireo The Corridors,Sector 67A,1.7,9843.0,1727.0,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3,3,2,10,north-east,New Property,,1727.0,,1017.0,0,1,0,0,1,2,44
flat,Shree Vardhman Flora,Sector 90,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,4,east,Relatively New,,1950.0,,,0,1,0,0,0,0,165
flat,Shree Vardhman Flora,Sector 90,1.25,4854.0,2575.0,Carpet area: 2575 (239.23 sq.m.),4,4,3,10,east,Relatively New,,,,2575.0,1,0,0,1,0,0,174
flat,Shree Vardhman Flora,Sector 90,0.65,4814.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6,west,Relatively New,,1350.0,,,1,0,0,0,0,0,174
flat,Shree Vardhman Flora,Sector 90,0.9,4615.0,1950.0,Super Built up area 1950(181.16 sq.m.),3,4,3,4,south-west,Relatively New,,1950.0,,,0,1,0,0,0,0,165
flat,Shree Vardhman Flora,Sector 90,0.65,4814.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,6,east,Relatively New,,1350.0,,,1,0,0,0,0,0,165
flat,Shree Vardhman Flora,Sector 90,0.66,5076.0,1300.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 960 sq.ft. (89.19 sq.m.),2,2,3,4,north-east,Relatively New,,1300.0,,960.0,1,0,0,0,0,0,119
flat,Hsiidc Sidco Aravali,Manesar,0.91,3516.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8,east,Moderately Old,,2588.0,1900.0,,0,1,0,0,0,0,23
flat,The Crew Bos Chs Manesar,Manesar,0.85,3695.0,2300.0,Carpet area: 2300 (213.68 sq.m.),3,3,2,2,east,Moderately Old,,,,2300.0,0,0,0,0,0,0,44
flat,Nagata Group Housing Society,Sector 1,0.85,3695.0,2300.0,Super Built up area 2300(213.68 sq.m.),3,3,3+,4,north,Relatively New,,2300.0,,,0,1,0,0,0,0,5
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.9,14683.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,0,0,north,Relatively New,,,,1975.0,0,0,1,0,0,0,50
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.85,14430.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,3,3,north,Relatively New,,,,1975.0,1,1,0,0,0,0,28
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.24,13575.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2,north-west,Relatively New,,,,1650.0,1,1,0,0,0,0,46
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.55,15454.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3,3,west,Relatively New,,1650.0,,1300.0,1,1,0,0,0,0,21
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.85,14430.0,1975.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.),4,4,3,2,south-west,Relatively New,,1975.0,1800.0,,1,1,0,0,0,0,21
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.5,15151.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,3,south-west,Relatively New,,1650.0,,,1,1,0,0,0,0,15
flat,The Close North,Sector 50,2.75,12500.0,2200.0,Super Built up area 2605(242.01 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,3,south-east,Moderately Old,,2605.0,2400.0,2200.0,0,1,0,0,0,0,110
flat,Unitech The Residences,Sector 33,1.35,8737.0,1545.0,Super Built up area 1545(143.54 sq.m.),3,4,2,8,north-east,Moderately Old,,1545.0,,,0,1,0,0,0,0,49
flat,The Close North,Sector 50,2.51,11992.0,2093.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11,north-east,Moderately Old,,2093.0,,,0,0,1,1,0,2,109
flat,M Merlin,Sector 67,4.5,14267.0,3154.0,Super Built up area 3154(293.02 sq.m.),4,4,3+,15,south-west,Relatively New,,3154.0,,,0,1,0,0,0,2,158
flat,The Close North,Sector 50,2.5,11944.0,2093.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11,north-east,Relatively New,,2093.0,,,0,0,0,1,0,2,127
flat,SS Residency Residency The Leaf,Sector 85,1.14,6951.0,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,4,south,Relatively New,,1640.0,,,0,0,0,0,0,0,109
flat,SS Residency Residency The Leaf,Sector 85,1.85,6578.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1,north-west,Relatively New,,2812.0,,,0,0,0,0,0,0,95
flat,Emaar MGF The Palm Drive,Sector 66,2.8,16470.0,1700.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,8,north-east,Relatively New,,1950.0,1920.0,1700.0,0,1,0,0,0,2,117
flat,Emaar MGF Palm Studios,Sector 66,1.45,14795.0,980.0,Super Built up area 1188(110.37 sq.m.)Carpet area: 980 sq.ft. (91.04 sq.m.),2,2,3,3,east,Relatively New,,1188.0,,980.0,0,0,0,0,0,0,92
flat,Mapsko Casa Bella,Sector 82,0.86,8120.0,1059.0,Super Built up area 1430(132.85 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3,5,south,Moderately Old,,1430.0,,1056.0,1,0,0,0,0,2,120
flat,Mapsko Mount Ville,Sector 79,1.28,8557.0,1496.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1063.91 sq.ft. (98.84 sq.m.),3,3,3,16,south,Relatively New,,1490.0,,1063.9,1,0,0,0,0,2,128
flat,Mapsko Mount Ville,Sector 79,1.2,8052.0,1490.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1163.91 sq.ft. (108.13 sq.m.),3,3,3,9,south,Relatively New,,1490.0,,1163.9,1,0,0,0,0,2,104
flat,Bestech Park View Ananda,Sector 81,1.15,6927.0,1660.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1282 sq.ft. (119.1 sq.m.),3,2,3+,6,south,Relatively New,,1660.0,,1282.0,1,0,0,0,0,2,104
flat,Bestech Park View Ananda,Sector 81,0.88,8042.0,1094.0,Super Built up area 1360(126.35 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2,2,3,8,west,Relatively New,,1360.0,,1094.0,1,0,0,0,0,2,95
flat,Bestech Park View Ananda,Sector 81,0.87,7951.0,1094.0,Super Built up area 1360(126.35 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1094 sq.ft. (101.64 sq.m.),2,2,3,8,west,Relatively New,,1360.0,1300.0,1094.0,0,0,0,0,0,0,95
flat,Indiabulls Centrum Park,Sector 103,2.4,8347.0,2875.0,Super Built up area 2875(267.1 sq.m.)Built Up area: 2456 sq.ft. (228.17 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,6,3+,15,north-east,Relatively New,,2875.0,2456.0,2100.0,0,1,0,0,0,0,156
flat,Raheja Vedaanta,Sector 108,0.85,4637.0,1833.0,Super Built up area 1833(170.29 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,2,north-east,Relatively New,,1833.0,1500.0,1350.0,0,1,0,0,0,0,65
flat,Shapoorji Pallonji Joyville,Sector 102,1.3,17691.0,735.0,Super Built up area 1215(112.88 sq.m.)Built Up area: 1009 sq.ft. (93.74 sq.m.)Carpet area: 734.8 sq.ft. (68.27 sq.m.),2,2,3,0,east,Relatively New,,1215.0,1009.0,734.85,0,0,1,0,0,0,125
flat,DLF The Primus,Sector 82A,1.85,10283.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3+,2,south,Relatively New,,1799.0,,1538.0,0,0,0,0,0,2,44
flat,Shapoorji Pallonji Joyville,Sector 102,2.0,17729.0,1128.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1456 sq.ft. (135.27 sq.m.)Carpet area: 1128.09 sq.ft. (104.8 sq.m.),3,3,3+,1,south,Relatively New,,1852.0,1456.0,1128.06,0,0,1,0,0,0,139
flat,Pioneer Araya,Sector 62,9.95,20995.0,4739.0,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,6,3,12,south-east,Relatively New,,4739.0,,3219.0,0,1,0,1,0,2,138
flat,Pioneer Araya,Sector 62,9.2,19943.0,4613.0,Super Built up area 4613(428.56 sq.m.)Carpet area: 3203 sq.ft. (297.57 sq.m.),4,6,3,5,south,Relatively New,,4613.0,,3203.0,0,1,0,1,0,2,156
flat,Central Park Flower Valley,Sector 33,1.79,11251.0,1591.0,Super Built up area 1789(166.2 sq.m.),3,3,3,3,south,Old,,1789.0,,,0,0,0,0,0,0,71
flat,ATS Tourmaline,Sector 109,2.1,8123.0,2585.0,Super Built up area 2585(240.15 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,11,south-east,Relatively New,,2585.0,2100.0,,0,1,0,0,0,2,165
flat,Paras Dews,Sector 106,1.14,6000.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,8,south,Relatively New,,1900.0,1305.0,1173.0,1,1,0,0,0,0,49
flat,Pareena Coban Residences,Sector 99A,1.13,5658.0,1997.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,5,3,5,east,Relatively New,,1997.0,1790.0,1500.0,0,1,0,0,1,0,49
flat,Paras Dews,Sector 106,1.05,8536.0,1230.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1345 sq.ft. (124.95 sq.m.)Carpet area: 1230 sq.ft. (114.27 sq.m.),3,4,3+,10,north-east,Relatively New,,1760.0,1345.0,1230.0,0,1,0,0,0,0,174
flat,La Vida By Tata Housing,Sector 113,2.78,11346.0,2450.0,Super Built up area 2690(249.91 sq.m.)Built Up area: 2599 sq.ft. (241.46 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),3,3,3,3,north,New Property,,2690.0,2599.0,2450.0,1,1,0,0,0,0,174
flat,La Vida By Tata Housing,Sector 113,1.55,11654.0,1330.0,Super Built up area 1330(123.56 sq.m.)Built Up area: 1276 sq.ft. (118.54 sq.m.)Carpet area: 1180 sq.ft. (109.63 sq.m.),2,2,3,2,north-east,New Property,,1330.0,1276.0,1180.0,0,0,0,0,0,0,174
flat,La Vida By Tata Housing,Sector 113,1.35,13989.0,965.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),2,2,3,10,north-east,New Property,,1276.0,1090.0,965.0,0,0,0,0,0,0,174
flat,La Vida By Tata Housing,Sector 113,1.38,12000.0,1150.0,Super Built up area 1573(146.14 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,3,8,south-west,New Property,,1573.0,1350.0,1150.0,1,0,0,0,0,0,174
flat,La Vida By Tata Housing,Sector 113,2.35,10599.0,2217.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 2210 sq.ft. (205.32 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),3,3,3,11,north-east,New Property,,2217.0,2210.0,1720.0,0,1,0,0,0,0,174
flat,Shapoorji Pallonji Joyville,Sector 102,1.8,10638.0,1692.0,Super Built up area 1692(157.19 sq.m.),3,3,3,1,east,Relatively New,,1692.0,,,0,0,0,0,0,0,141
flat,Shapoorji Pallonji Joyville,Sector 102,1.24,10205.0,1215.0,Super Built up area 1215(112.88 sq.m.),2,2,2,10,east,Relatively New,,1215.0,,,0,0,0,0,0,0,141
flat,Shapoorji Pallonji Joyville,Sector 102,0.96,10491.0,915.0,Super Built up area 915(85.01 sq.m.),2,2,2,10,east,Relatively New,,915.0,,,0,0,0,0,0,0,132
flat,Conscient Heritage Max,Sector 102,1.82,9371.0,1942.0,Super Built up area 1942(180.42 sq.m.),3,4,3+,15,east,Moderately Old,,1942.0,,,0,1,0,0,0,0,125
flat,Conscient Heritage Max,Sector 102,2.65,10375.0,2554.0,Super Built up area 2554(237.27 sq.m.),4,5,3+,17,north,Moderately Old,,2554.0,,,0,1,0,0,0,0,125
flat,Conscient Heritage Max,Sector 102,2.2,10237.0,2149.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,9,south-east,Moderately Old,,2149.0,,,1,1,0,0,0,0,125
flat,Conscient Heritage Max,Sector 102,1.78,9218.0,1931.0,Super Built up area 1931(179.4 sq.m.),3,4,3+,5,east,Moderately Old,,1931.0,,,0,1,0,0,0,0,125
flat,SBTL Caladium,Sector 109,1.68,6601.0,2545.0,Super Built up area 2545(236.44 sq.m.),3,3,3+,7,east,Moderately Old,,2545.0,,,0,1,0,0,0,0,134
flat,SBTL Caladium,Sector 109,1.3,6914.0,1880.0,Super Built up area 1880(174.66 sq.m.),3,2,3,16,east,Moderately Old,,1880.0,,,0,0,0,0,0,0,134
flat,Signature Global Solera,Sector 107,0.5,8222.0,608.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.),2,2,1,8,south-west,Relatively New,,602.0,598.0,,0,0,0,0,1,1,49
flat,Vatika City Homes,Sector 83,1.08,6206.0,1740.0,Super Built up area 1740(161.65 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,6,south-west,Relatively New,,1740.0,,1350.0,0,0,1,0,0,0,111
flat,Bestech Altura,Sector 79,1.72,8400.0,2048.0,Built Up area: 2050 (190.45 sq.m.),3,4,3,9,east,New Property,,,2050.0,,0,0,0,0,0,0,49
flat,Ashiana Apartment,Sector 23,0.16,2051.0,780.0,Super Built up area 780(72.46 sq.m.),2,2,2,1,na,Moderately Old,,780.0,,,0,0,0,0,0,0,0
flat,HCBS Sports Ville,Sohna Road,0.2,2666.0,750.0,Super Built up area 750(69.68 sq.m.)Built Up area: 743 sq.ft. (69.03 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2,2,1,4,na,New Property,,750.0,743.0,600.0,0,0,0,0,0,0,15
flat,Orchid Island,Sector 51,0.72,7891.0,912.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4,na,Relatively New,,,,906.0,0,0,0,0,0,0,23
flat,Signature Global Park,Sohna Road,0.54,6506.0,830.0,Carpet area: 830 (77.11 sq.m.),2,2,1,2,na,Relatively New,,,,830.0,0,0,0,0,0,0,16
flat,Vipul Lavanya,Sector 81,0.64,5265.0,1216.0,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),2,2,2,14,na,Moderately Old,,1225.0,,776.0,0,0,0,0,0,0,96
flat,Vipul World,Sector 48,1.38,9482.0,1455.0,Carpet area: 1450 (134.71 sq.m.),3,3,1,2,na,Relatively New,,,,1450.0,0,0,0,0,0,0,60
flat,Signature Global The Millennia,Sector 37D,0.45,7627.0,590.0,Carpet area: 590 (54.81 sq.m.),2,3,2,8,na,New Property,,,,590.0,0,0,0,0,0,0,8
flat,AVL,Sector 36A,0.45,9000.0,500.0,Super Built up area 500(46.45 sq.m.),1,1,1,9,na,Relatively New,,500.0,,,0,0,0,0,0,0,0
flat,Vatika Lifestyle Homes,Sector 83,1.15,6552.0,1755.0,Super Built up area 1755(163.04 sq.m.),3,2,3,15,na,Relatively New,,1755.0,,,0,0,0,0,0,0,37
flat,Vatika City,Sector 49,3.6,11920.0,3020.0,Carpet area: 3020 (280.57 sq.m.),4,5,3,7,na,Moderately Old,,,,3020.0,0,1,0,1,0,1,15
flat,Tarc Maceo,Sector 91,0.9,6870.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,13,east,Relatively New,,1310.0,,,0,0,0,0,0,1,67
flat,Kendriya Vihar,Sector 56,0.55,9016.0,610.0,Carpet area: 610 (56.67 sq.m.),1,2,1,0,na,Old,,,,610.0,0,0,0,0,0,0,68
flat,M Sky Lofts,Sector 71,0.9,13177.0,683.0,Built Up area: 683 (63.45 sq.m.),1,1,0,6,na,New Property,,,683.0,,0,0,0,0,0,0,0
flat,Lotus Homz,Sector 111,0.5,14838.0,337.0,Carpet area: 336.96 (31.3 sq.m.),1,1,1,2,na,Relatively New,,,,336.91,0,0,0,0,0,1,72
flat,M Heights,Sector 65,2.86,14000.0,2043.0,Carpet area: 2040 (189.52 sq.m.),3,3,3,45,east,New Property,,,,2040.0,0,1,0,0,0,0,0
flat,Ansal Height Height Api Sushant Estate,Sector 52,0.29,11600.0,250.0,Carpet area: 250 (23.23 sq.m.),1,1,0,0,na,Moderately Old,,,,250.0,0,0,0,0,0,2,49
flat,Satya The Hermitage,Sector 103,0.89,6137.0,1450.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1081 sq.ft. (100.43 sq.m.),2,3,3,1,na,Relatively New,,1450.0,,1081.0,0,1,0,0,0,0,75
flat,Satya The Hermitage,Sector 103,1.12,5625.0,1991.0,Super Built up area 1991(184.97 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3+,9,na,New Property,,1991.0,,1500.0,0,1,0,0,0,0,49
flat,GLS Avenue,Sector 92,0.5,7812.0,640.0,Super Built up area 640(59.46 sq.m.),3,3,1,0,na,Relatively New,,640.0,,,0,0,0,0,0,0,0
flat,Pareena Coban Residences,Sector 99A,1.4,7010.0,1997.0,Super Built up area 1997(185.53 sq.m.),3,5,3+,6,na,New Property,,1997.0,,,0,0,0,0,0,0,15
