property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
flat,Sector 81,2280,Relatively New,3,4,0,1,0,3+,Un-furnished,Average,Mid-rise,2.3
house,Sector 9,2615,Relatively New,3,3,1,0,0,2,Semi-furnished,Low,Low-rise,3.5
flat,Sector 33,1987,New Property,4,4,0,1,0,3+,Semi-furnished,Average,Mid-rise,2.3
flat,Sector 88A,1383,Relatively New,2,2,1,0,0,3,Un-furnished,High,High-rise,1.19
flat,Sector 22,1987,New Property,3,4,0,1,0,3+,Un-furnished,Average,Mid-rise,3.5
house,Sector 7,1632,Old,4,4,1,0,1,3,Semi-furnished,Average,Low-rise,2.43
flat,Sohna Road,623,New Property,2,2,0,0,0,1,Semi-furnished,Average,Mid-rise,0.4
flat,Sector 89,1571,New Property,3,3,0,0,0,2,Semi-furnished,Average,Low-rise,1.2
flat,Sector 112,3662,Moderately Old,4,2,0,1,0,3+,Un-furnished,High,High-rise,5.6
flat,Sector 69,526,Relatively New,2,1,0,0,0,1,Semi-furnished,Low,High-rise,0.6
flat,Sector 53,2500,Relatively New,3,4,0,1,0,3+,Un-furnished,High,Mid-rise,4.8
flat,Sector 37C,900,Moderately Old,2,2,0,0,0,3,Un-furnished,Medium,Low-rise,0.78
flat,Sector 109,1896,Relatively New,3,3,0,1,0,3,Semi-furnished,Medium,High-rise,2.22
flat,Sector 108,2343,Relatively New,4,2,0,0,0,3,Semi-furnished,Medium,Skyscraper,3.95
house,Sector 109,7000,Relatively New,4,3,0,0,0,1,Un-furnished,Medium,Low-rise,6.3
flat,Sector 104,2072,Relatively New,3,4,1,1,1,3+,Semi-furnished,Medium,High-rise,1.85
flat,Sector 49,2030,Relatively New,3,3,0,0,0,3,Semi-furnished,Average,High-rise,2.35
house,Sector 48,2525,Moderately Old,4,4,0,1,0,2,Semi-furnished,Low,Low-rise,5.75
flat,Sector 89,1571,New Property,3,3,1,0,0,2,Semi-furnished,Average,Low-rise,1.3
flat,Sohna Road,565,New Property,2,2,0,0,0,2,Semi-furnished,Average,Mid-rise,0.26
flat,Sector 81,735,Relatively New,2,2,0,0,0,3,Semi-furnished,Medium,Mid-rise,0.5
flat,Sector 65,1821,Relatively New,3,3,0,1,1,3,Un-furnished,Medium,Mid-rise,2.7
flat,Sector 90,1817,Relatively New,3,3,0,1,0,3+,Semi-furnished,High,High-rise,1.29
flat,Sector 56,2081,New Property,4,1,0,0,0,2,Semi-furnished,Low,Mid-rise,2.0
flat,Sector 22,1285,New Property,2,2,0,0,0,2,Semi-furnished,Average,Mid-rise,1.99
flat,Sector 109,2403,Moderately Old,3,1,0,0,0,1,Semi-furnished,Low,Mid-rise,1.38
flat,Sector 89,500,New Property,1,1,0,0,0,1,Semi-furnished,Medium,Mid-rise,0.25
flat,Sector 65,1012,New Property,2,2,0,0,0,3,Semi-furnished,Average,Mid-rise,2.1
house,Sector 109,7000,Relatively New,5,3,1,1,0,1,Un-furnished,High,Low-rise,12.0
flat,Sector 58,1244,Relatively New,2,2,0,0,0,2,Semi-furnished,Average,Mid-rise,2.2
flat,Sector 70A,1439,Relatively New,2,2,0,0,0,3+,Un-furnished,Medium,Skyscraper,1.27
house,Sector 46,911,Old,3,3,0,0,1,1,Un-furnished,Average,Low-rise,2.2
flat,Sector 104,2072,Relatively New,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.75
flat,Sector 43,2712,Moderately Old,4,4,0,1,0,3+,Semi-furnished,Low,Mid-rise,6.2
flat,Sohna Road,1378,Relatively New,3,1,0,0,0,3+,Semi-furnished,High,Mid-rise,1.14
flat,Sohna Road,580,New Property,2,2,0,0,0,1,Semi-furnished,Average,Mid-rise,0.32
flat,Sector 48,1600,Relatively New,3,3,0,0,0,1,Semi-furnished,Medium,Low-rise,1.38
house,Sector 43,3159,Moderately Old,4,4,1,1,0,1,Furnished,Medium,Low-rise,2.45
flat,Sector 9A,1403,Moderately Old,3,3,0,0,0,2,Semi-furnished,Low,Mid-rise,0.95
flat,Sector 90,2139,Moderately Old,4,4,0,1,0,3+,Un-furnished,Medium,High-rise,1.65
flat,Sector 83,1600,Relatively New,3,3,0,1,0,3,Un-furnished,High,Mid-rise,1.76
flat,Sector 37D,600,New Property,2,2,0,0,0,3,Semi-furnished,Medium,Low-rise,0.55
flat,Sector 102,1368,Moderately Old,2,2,0,0,0,3,Semi-furnished,Low,High-rise,1.6
house,Sector 7,758,Old,1,1,0,0,0,1,Semi-furnished,Low,Low-rise,0.69
flat,Sector 67,2706,Relatively New,3,3,0,1,0,3,Semi-furnished,Medium,High-rise,3.49
house,Sector 50,7000,Moderately Old,5,2,0,1,0,1,Furnished,Low,Mid-rise,10.0
flat,Sector 99A,1807,Relatively New,3,2,0,1,0,3,Semi-furnished,Medium,Mid-rise,1.23
house,Sector 49,2092,Moderately Old,4,4,1,1,0,3,Un-furnished,Average,Low-rise,6.75
flat,Sector 103,800,Relatively New,2,2,0,0,0,2,Semi-furnished,Low,High-rise,0.5
